round,ballots_exhausted,value_exhausted_num,value_exhausted_den
1025,469,243750087,692500
1027,147,101444700,1378427
1028,4,1094672,790067
1029,190,16468345,344721
1030,5,1011900,1577141
1031,635,1285875,350389
1032,599,3265149,1380271
1033,10337,28168325,1750944
1034,998,998,1
1035,278,344177066,1583601
1036,457,237513411,692500
1037,58,12873361,394181
1038,88,60728800,1378427
1039,72,19704096,790067
1040,73,12654623,689442
1041,77,15583260,1577141
1042,3907,7911675,350389
1043,102,556002,1380271
1044,44239,9273175,134688
1045,1724101,9434280672,2562937
1046,91698,91698,1
1047,251,310749797,1583601
1048,289,150199947,692500
1049,98,21751541,394181
1050,71,48997100,1378427
1051,146,39955528,790067
1052,95,16468345,689442
1053,192,38856960,1577141
1054,2992,6058800,350389
1055,115,626865,1380271
1056,76480,418498560,2562937
1057,53455,145664875,1750944
1058,194612,194612,1
1059,2360,2921790920,1583601
1060,1011,525439953,692500
1061,349,154924241,788362
1062,155,106965500,1378427
1063,412,112751216,790067
1064,173,29989723,689442
1065,427,86416260,1577141
1066,9486,19209150,350389
1067,212,1155612,1380271
1068,475753,2603320416,2562937
1069,921195,836752125,583648
1070,873334,46230,1
